1,92.221,291.24,34.611,103.83,1.4336
1,448.47,251.94,37.435,112.31,1.2557
1,451.03,80.188,24.317,72.952,0.72987
1,186.86,143.62,21.618,64.854,0.34977
1,466.07,142.1,35.996,107.99,0.22973
1,200.21,215.01,29.586,88.757,0.17205
1,363.26,90.692,18.479,55.438,0.15194
1,153.14,140.98,24.317,72.952,-0.012879
1,573.46,90.172,20.787,62.36,-0.015154
1,411,59,32,96,-0.018514
1,305.76,316.56,21.618,64.854,-0.051677
1,163.63,52.568,23.382,70.146,-0.077311
2,466.07,178.1,35.996,107.99,1.1977
2,123,291,32,96,1.1231
2,476.55,298.73,37.435,112.31,0.77964
2,485.14,70.105,23.382,70.146,0.69991
2,451.3,84.596,25.29,75.87,0.67657
2,121.35,58.993,20.787,62.36,0.57342
2,426.06,91.793,28.448,85.344,0.48072
2,225.29,131.75,20.787,62.36,0.35442
2,426.06,390.5,28.448,85.344,0.23543
2,170.64,67.957,21.618,64.854,0.18829
2,35,203,32,96,0.14769
2,399.92,325.95,29.586,88.757,-0.096801
2,2.4029,223.69,25.29,75.87,-0.28629
2,209.42,378.65,30.769,92.308,-0.36687
2,187.4,83.568,34.611,103.83,-0.37894
3,414.55,104.51,24.317,72.952,1.4965
3,461.92,212.32,33.28,99.84,1.4579
3,142.1,205.1,35.996,107.99,1.3733
3,70.113,187.1,35.996,107.99,1.0309
3,454.08,94.358,22.483,67.448,0.68373
3,479.29,99.332,23.382,70.146,0.6402
3,498.9,369.11,34.611,103.83,0.56132
3,177.2,71.497,19.218,57.655,0.30241
3,230.72,394.84,27.354,82.061,0.091085
3,129.15,71.497,19.218,57.655,0.057469
3,360.4,84.976,20.787,62.36,-0.19002
3,118.41,21.395,18.479,55.438,-0.24678
3,537.54,66.692,19.218,57.655,-0.32708
4,445.05,234.5,42.11,126.33,1.8959
4,139,195,32,96,1.5007
4,136.94,74.583,20.787,62.36,1.2283
4,122.06,141.78,26.302,78.905,1.0842
4,99,171,32,96,0.53427
4,213.93,104.51,24.317,72.952,0.51013
4,177.14,77.569,28.448,85.344,0.3562
4,424.65,51.743,21.618,64.854,0.28946
